,Date,CPI,Unemployment_Rate,G10Yield,G5Yield,G3Yield,EURUSD,GBPUSD,USDCHF,USDJPY,SP500_Close
260,2021-09-01,273.89,4.7,1.37,0.86,0.47,1.185,1.379,0.9145,110.03,4605.38
261,2021-10-01,276.43,4.5,1.58,1.11,0.67,1.1598,1.3572,0.9297,110.97,4567.0
262,2021-11-01,278.8,4.1,1.56,1.2,0.82,1.1591,1.3679,0.9105,114.19,4766.18
263,2021-12-01,280.81,3.9,1.47,1.23,0.95,1.1323,1.3308,0.9195,112.82,4515.55
264,2022-01-01,282.39,4.0,1.76,1.54,1.25,1.129,1.3469,0.9188,115.27,4373.94
265,2022-02-01,284.54,3.8,1.93,1.81,1.65,1.1239,1.3505,0.9231,114.77,4530.41
266,2022-03-01,287.55,3.6,2.13,2.11,2.09,1.1103,1.3318,0.9186,114.87,4131.93
267,2022-04-01,288.76,3.7,2.75,2.78,2.72,1.1043,1.3114,0.9256,122.6,4132.15
268,2022-05-01,291.36,3.6,2.9,2.87,2.79,1.0521,1.2523,0.977,130.18,3785.38
269,2022-06-01,295.0,3.6,3.14,3.19,3.15,1.0646,1.2472,0.9644,130.09,4130.29
270,2022-07-01,294.98,3.5,2.9,2.96,3.03,1.0409,1.2048,0.9623,135.09,3955.0
271,2022-08-01,295.21,3.6,2.9,3.03,3.23,1.027,1.2278,0.9486,131.8,3585.62
272,2022-09-01,296.34,3.5,3.52,3.7,3.88,0.995,1.1541,0.9838,139.93,3871.98
273,2022-10-01,297.86,3.6,3.98,4.18,4.38,0.9809,1.1272,0.9929,144.5,4080.11
274,2022-11-01,298.65,3.6,3.89,4.06,4.34,0.9871,1.146,0.9995,148.11,3839.5
275,2022-12-01,298.81,3.5,3.62,3.76,4.05,1.0498,1.2252,0.9377,135.55,4076.6
276,2023-01-01,300.36,3.4,3.53,3.64,3.91,1.0559,1.197,0.9368,130.83,3970.15
277,2023-02-01,301.51,3.6,3.75,3.94,4.23,1.0917,1.2308,0.9147,129.27,4109.31
278,2023-03-01,301.74,3.5,3.66,3.82,4.09,1.0674,1.2034,0.9387,135.82,4169.48
279,2023-04-01,303.03,3.4,3.46,3.54,3.76,1.0891,1.2403,0.913,132.35,4179.83
280,2023-05-01,303.36,3.7,3.57,3.59,3.82,1.097,1.2495,0.8961,137.35,4450.38
281,2023-06-01,304.0,3.6,3.75,3.95,4.27,1.0752,1.2536,0.9077,138.74,4588.96
282,2023-07-01,304.63,3.5,3.9,4.14,4.47,1.0919,1.2695,0.8956,144.5,4507.66
283,2023-08-01,306.19,3.8,4.17,4.31,4.59,1.0971,1.275,0.8763,143.34,4288.05
284,2023-09-01,307.29,3.8,4.38,4.49,4.74,1.0787,1.2594,0.8857,146.2,4193.8
285,2023-10-01,307.53,3.8,4.8,4.77,4.89,1.05,1.213,0.9176,149.8,4567.8
286,2023-11-01,308.02,3.7,4.5,4.49,4.64,1.0538,1.2127,0.9103,150.96,4769.83
287,2023-12-01,308.74,3.7,4.02,4.0,4.19,1.0878,1.2682,0.8706,147.0,4845.65
288,2024-01-01,309.68,3.7,4.06,3.98,4.11,1.0957,1.2632,0.8483,141.89,5096.27
289,2024-02-01,311.05,3.9,4.21,4.19,4.33,1.0865,1.2727,0.8579,146.18,5254.35
290,2024-03-01,312.23,3.8,4.21,4.2,4.38,1.0832,1.2652,0.8844,150.2,5035.69
291,2024-04-01,313.21,3.9,4.54,4.56,4.71,1.0733,1.2545,0.9055,151.72,5277.51
292,2024-05-01,313.23,4.0,4.48,4.5,4.66,1.068,1.2488,0.9195,157.65,5460.48
